Contract ID,Plan ID,Organization Type,Plan Type,Offers Part D,SNP Plan,EGHP,Organization Name,Organization Marketing Name,Plan Name,Parent Organization,Contract Effective Date
H0107,3,Local CCP,Local PPO,Yes,No,No,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage Classic (PPO),Health Care Service Corporation,1/1/2014 0:00
H0107,4,Local CCP,Local PPO,Yes,No,No,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage Optimum (PPO),Health Care Service Corporation,1/1/2014 0:00
H0107,801,Local CCP,Local PPO,Yes,No,Yes,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage Employer Ideal (PPO),Health Care Service Corporation,1/1/2014 0:00
H0107,802,Local CCP,Local PPO,Yes,No,Yes,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage Employer Expanded (PPO),Health Care Service Corporation,1/1/2014 0:00
H0107,803,Local CCP,Local PPO,No,No,Yes,HEALTH CARE SERVICE CORPORATION,Blue Cross and Blue Shield of Montana,Blue Cross Medicare Advantage (PPO),Health Care Service Corporation,1/1/2014 0:00
H0111,1,Local CCP,Local PPO,Yes,No,No,"WELLCARE OF GEORGIA, INC.",WellCare,WellCare Premier (PPO),"WellCare Health Plans, Inc.",1/1/2018 0:00
H0111,2,Local CCP,Local PPO,Yes,No,No,"WELLCARE OF GEORGIA, INC.",WellCare,WellCare Prime (PPO),"WellCare Health Plans, Inc.",1/1/2018 0:00
H0112,1,National PACE,National PACE,Yes,No,No,"MORSE LIFE HOME CARE, INC.",Palm Beach PACE,Palm Beach PACE (PACE),"Morse Life Home Care, Inc.",11/1/2013 0:00
H0112,2,National PACE,National PACE,Yes,No,No,"MORSE LIFE HOME CARE, INC.",Palm Beach PACE,Palm Beach PACE (PACE),"Morse Life Home Care, Inc.",11/1/2013 0:00
H0137,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",Commonwealth Care Alliance (Medicare-Medicaid Plan),"Commonwealth Care Alliance, Inc.",10/1/2013 0:00
H0148,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,CARE1ST HEALTH PLAN,Blue Shield of California Promise Health Plan,Care1st Cal MediConnect Plan (Medicare-Medicaid Plan),California Physicians' Service,4/1/2014 0:00
H0148,2,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,CARE1ST HEALTH PLAN,Blue Shield of California Promise Health Plan,Care1st Cal MediConnect Plan (Medicare-Medicaid Plan),California Physicians' Service,4/1/2014 0:00
H0150,7,Local CCP,HMO/HMOPOS,Yes,Yes,No,HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY,Cigna-HealthSpring,Cigna-HealthSpring TotalCare (HMO SNP),CIGNA,3/1/1994 0:00
H0150,12,Local CCP,HMO/HMOPOS,No,No,No,HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY,Cigna-HealthSpring,Cigna-HealthSpring Advantage (HMO),CIGNA,3/1/1994 0:00
H0150,24,Local CCP,HMO/HMOPOS,Yes,No,No,HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),CIGNA,3/1/1994 0:00
H0150,804,Local CCP,HMO/HMOPOS,Yes,No,Yes,HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY,Cigna-HealthSpring,Cigna-HealthSpring Preferred Rx CY (HMO),CIGNA,3/1/1994 0:00
H0154,8,Local CCP,HMO/HMOPOS,No,No,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Select (HMO),UAB Health System,5/1/1998 0:00
H0154,11,Local CCP,HMO/HMOPOS,Yes,No,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Premier (HMO),UAB Health System,5/1/1998 0:00
H0154,12,Local CCP,HMO/HMOPOS,Yes,Yes,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Extra Value (HMO SNP),UAB Health System,5/1/1998 0:00
H0154,14,Local CCP,HMO/HMOPOS,Yes,No,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Me (HMO),UAB Health System,5/1/1998 0:00
H0154,15,Local CCP,HMO/HMOPOS,Yes,No,No,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Plus (HMO),UAB Health System,5/1/1998 0:00
H0154,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Group Plan with Rx (CY) (HMO),UAB Health System,5/1/1998 0:00
H0154,802,Local CCP,HMO/HMOPOS,No,No,Yes,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Group Plan (no Rx) (HMO),UAB Health System,5/1/1998 0:00
H0154,803,Local CCP,HMO/HMOPOS,Yes,No,Yes,"VIVA HEALTH, INC.",VIVA Medicare,VIVA Medicare Plus Group Plan with Rx (not CY) (HMO),UAB Health System,5/1/1998 0:00
H0169,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0169,2,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0169,3,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0174,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"WELLCARE OF TEXAS, INC.",WellCare,TexanPlus Star (HMO SNP),"WellCare Health Plans, Inc.",1/1/2016 0:00
H0192,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"AMERIHEALTH MICHIGAN, INC.",AmeriHealth Caritas VIP Care Plus,AmeriHealth Caritas VIP Care Plus (Medicare-Medicaid Plan),"Independence Health Group, Inc.",5/1/2015 0:00
H0216,1,National PACE,National PACE,Yes,No,No,PACE IOWA,Immanuel Pathways Iowa,PACE Iowa (PACE),Immanuel,1/1/2012 0:00
H0216,2,National PACE,National PACE,Yes,No,No,PACE IOWA,Immanuel Pathways Iowa,PACE Iowa (PACE),Immanuel,1/1/2012 0:00
H0251,2,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",1/1/2007 0:00
H0251,4,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete ONE (HMO SNP),"UnitedHealth Group, Inc.",1/1/2007 0:00
H0281,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,ILLINICARE HEALTH PLAN,IlliniCare Health,IlliniCare Health - MMAI (Medicare-Medicaid Plan),Centene Corporation,2/1/2014 0:00
H0294,2,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,Care Improvement Plus Gold Rx (PPO SNP),"UnitedHealth Group, Inc.",1/1/2012 0:00
H0294,4,Local CCP,Local PPO,Yes,No,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,Care Improvement Plus Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H0294,10,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,Care Improvement Plus Gold Rx (PPO SNP),"UnitedHealth Group, Inc.",1/1/2012 0:00
H0294,11,Local CCP,Local PPO,Yes,No,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,Care Improvement Plus Medicare Advantage (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H0294,12,Local CCP,Local PPO,Yes,No,No,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,UnitedHealthcare,Care Improvement Plus Medicare Advantage Premier (PPO),"UnitedHealth Group, Inc.",1/1/2012 0:00
H0302,1,Local CCP,HMO/HMOPOS,Yes,No,No,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,Blue Medicare Advantage Plus (HMO),"Veritage, LLC",8/1/1999 0:00
H0302,6,Local CCP,HMO/HMOPOS,Yes,No,No,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,Blue Medicare Advantage Classic (HMO),"Veritage, LLC",8/1/1999 0:00
H0302,8,Local CCP,HMO/HMOPOS,Yes,No,No,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,Blue Medicare Advantage Classic (HMO),"Veritage, LLC",8/1/1999 0:00
H0302,801,Local CCP,HMO/HMOPOS,No,No,Yes,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,Blue Medicare Advantage Employer Plan (HMO),"Veritage, LLC",8/1/1999 0:00
H0321,2,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",9/1/2005 0:00
H0321,4,Local CCP,HMO/HMOPOS,Yes,Yes,No,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete ONE (HMO SNP),"UnitedHealth Group, Inc.",9/1/2005 0:00
H0332,1,Local CCP,HMO/HMOPOS,No,No,No,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Essential (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,2,Local CCP,HMO/HMOPOS,Yes,No,No,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Rx (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,3,Local CCP,HMO/HMOPOS,No,No,No,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Essential+Choice (HMO-POS),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,4,Local CCP,HMO/HMOPOS,Yes,No,No,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Rx+Choice (HMO-POS),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,801,Local CCP,HMO/HMOPOS,No,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Essential Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,803,Local CCP,HMO/HMOPOS,Yes,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Rx Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,804,Local CCP,HMO/HMOPOS,No,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Essential+Choice Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,805,Local CCP,HMO/HMOPOS,Yes,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Rx+Choice Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,806,Local CCP,HMO/HMOPOS,No,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Essential Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,807,Local CCP,HMO/HMOPOS,Yes,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Rx Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,808,Local CCP,HMO/HMOPOS,No,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Essential+Choice Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,809,Local CCP,HMO/HMOPOS,Yes,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Rx+Choice Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,810,Local CCP,HMO/HMOPOS,Yes,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Rx Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,811,Local CCP,HMO/HMOPOS,Yes,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Rx Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,812,Local CCP,HMO/HMOPOS,Yes,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Rx Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,813,Local CCP,HMO/HMOPOS,Yes,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage RX Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0332,814,Local CCP,HMO/HMOPOS,No,No,Yes,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,KelseyCare Advantage Essential Retiree (HMO),"Kelsey-Seybold Medical Group, PLLC",1/1/2008 0:00
H0336,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"HUMANA HEALTH PLAN, INC.",Humana,Humana Gold Plus Integrated H0336-001 (Medicare-Medicaid Plan),Humana Inc.,2/1/2014 0:00
H0351,30,Local CCP,HMO/HMOPOS,No,No,No,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell Medicare Complement (HMO),Centene Corporation,3/1/1992 0:00
H0351,38,Local CCP,HMO/HMOPOS,Yes,Yes,No,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell CHF/Diabetes Medicare (HMO SNP),Centene Corporation,3/1/1992 0:00
H0351,41,Local CCP,HMO/HMOPOS,Yes,No,No,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell Medicare Select (HMO),Centene Corporation,3/1/1992 0:00
H0351,42,Local CCP,HMO/HMOPOS,Yes,Yes,No,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell Cardio Medicare (HMO SNP),Centene Corporation,3/1/1992 0:00
H0351,43,Local CCP,HMO/HMOPOS,Yes,No,No,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell Medicare Premier (HMO),Centene Corporation,3/1/1992 0:00
H0351,44,Local CCP,HMO/HMOPOS,Yes,No,No,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell Medicare (HMO),Centene Corporation,3/1/1992 0:00
H0351,49,Local CCP,HMO/HMOPOS,Yes,No,No,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell Medicare Essentials II (HMO),Centene Corporation,3/1/1992 0:00
H0351,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell CoCare (HMO),Centene Corporation,3/1/1992 0:00
H0351,803,Local CCP,HMO/HMOPOS,No,No,Yes,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell CoCare (HMO),Centene Corporation,3/1/1992 0:00
H0351,804,Local CCP,HMO/HMOPOS,Yes,No,Yes,"HEALTH NET OF ARIZONA, INC.",Allwell,Allwell CoCare (HMO),Centene Corporation,3/1/1992 0:00
H0354,1,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna,Cigna-HealthSpring Preferred (HMO),CIGNA,12/1/1992 0:00
H0354,24,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna,Cigna-HealthSpring Preferred (HMO),CIGNA,12/1/1992 0:00
H0354,27,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna,Cigna-HealthSpring Achieve Plus (HMO SNP),CIGNA,12/1/1992 0:00
H0354,804,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna,Cigna-HealthSpring Preferred Rx CY (HMO),CIGNA,12/1/1992 0:00
H0354,805,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna,Cigna-HealthSpring Preferred Rx FY (HMO),CIGNA,12/1/1992 0:00
H0390,1,National PACE,National PACE,Yes,No,No,"PACE OF SOUTHWEST MICHIGAN, INC.",PACE of Southwest Michigan,PACE of Southwest Michigan - Dual (PACE),"PACE of Southwest Michigan, Inc.",8/1/2012 0:00
H0390,2,National PACE,National PACE,Yes,No,No,"PACE OF SOUTHWEST MICHIGAN, INC.",PACE of Southwest Michigan,PACE of Southwest Michigan - Medicare Only (PACE),"PACE of Southwest Michigan, Inc.",8/1/2012 0:00
H0423,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,MetroPlus Advantage Plan (HMO SNP),New York City Health and Hospitals Corporation,1/1/2008 0:00
H0423,4,Local CCP,HMO/HMOPOS,Yes,No,No,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,MetroPlus Platinum (HMO),New York City Health and Hospitals Corporation,1/1/2008 0:00
H0432,1,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0432,2,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0432,3,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0432,4,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0432,5,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0432,6,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0432,7,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0432,8,Local CCP,HMO/HMOPOS,Yes,No,No,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0432,9,Local CCP,HMO/HMOPOS,Yes,Yes,No,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,UnitedHealthcare Dual Complete (HMO SNP),"UnitedHealth Group, Inc.",1/1/2018 0:00
H0439,2,Local CCP,HMO/HMOPOS,Yes,Yes,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna-HealthSpring,Cigna-HealthSpring TotalCare (HMO SNP),CIGNA,1/1/2014 0:00
H0439,3,Local CCP,HMO/HMOPOS,Yes,No,No,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),CIGNA,1/1/2014 0:00
H0439,801,Local CCP,HMO/HMOPOS,Yes,No,Yes,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna-HealthSpring,Cigna-HealthSpring Preferred Rx CY (HMO),CIGNA,1/1/2014 0:00
H0477,1,National PACE,National PACE,Yes,No,No,"SERENITY CARE, INC.",Serenity Care PACE,Serenity PACE Dual (PACE),"Serenity Care, Inc.",5/1/2014 0:00
H0477,2,National PACE,National PACE,Yes,No,No,"SERENITY CARE, INC.",Serenity Care PACE,Serenity PACE Medicare only (PACE),"Serenity Care, Inc.",5/1/2014 0:00
H0480,1,Demo,Medicare-Medicaid Plan HMO/HMOPOS,Yes,No,No,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",MeridianComplete,MeridianComplete (Medicare-Medicaid Plan),"WellCare Health Plans, Inc.",3/1/2015 0:00
