,origin_id,origin_name,origin,destination_id,destination_name,destination,County,DISTANCE
63,395549,SHERWOOD OAKS,100 NORMAN DRIVE,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,Butler,22.557631413
64,395549,SHERWOOD OAKS,100 NORMAN DRIVE,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,Butler,9.968654953
65,395549,SHERWOOD OAKS,100 NORMAN DRIVE,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,19.517263110000002
66,395549,SHERWOOD OAKS,100 NORMAN DRIVE,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,1.672730732
67,395549,SHERWOOD OAKS,100 NORMAN DRIVE,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,23.195158059
68,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,Butler,23.067155633
69,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,8.232544379
70,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,21.378890626
71,395684,CONCORDIA LUTHERAN HEALTH AND HUMAN CARE,134 MARWOOD ROAD,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,9.820147284
72,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,Butler,17.750705357
73,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,11.366739703
74,395758,"GROVE AT HARMONY, THE",191 EVERGREEN MILL ROAD,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,20.187101048
75,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,Butler,21.717537821
76,395788,SUNNYVIEW NURSING AND REHABILITATION CENTER,107 SUNNYVIEW CIRCLE,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,1.900152518
77,395845,CRANBERRY PLACE,5 SAINT FRANCIS WAY,395869,BUTLER MEMORIAL HOSP TCF,ONE HOSPITAL WAY,Butler,25.785653758
